REGION	MEASURE	INDEX	TSEST	FREQUENCY	TIME_FORMAT	obsTime	obsValue	city	obsValuerel	up
1	1	30014	10	Q	P3M	1990-01-01T00:00:00Z	48.5	Sydney	1.1866103202847	TRUE
1	1	30014	10	Q	P3M	1990-04-01T00:00:00Z	49	Sydney	1.17994746059545	TRUE
1	1	30014	10	Q	P3M	1990-07-01T00:00:00Z	49.7	Sydney	1.18847826086957	TRUE
1	1	30014	10	Q	P3M	1990-10-01T00:00:00Z	50.2	Sydney	1.16991525423729	TRUE
1	1	30014	10	Q	P3M	1991-01-01T00:00:00Z	50.4	Sydney	1.17657045840408	TRUE
1	1	30014	10	Q	P3M	1991-04-01T00:00:00Z	50.7	Sydney	1.18156779661017	TRUE
1	1	30014	10	Q	P3M	1991-07-01T00:00:00Z	50.9	Sydney	1.18022765598651	TRUE
1	1	30014	10	Q	P3M	1991-10-01T00:00:00Z	51	Sydney	1.17070116861436	TRUE
2	1	30014	10	Q	P3M	1982-01-01T00:00:00Z	25.8	Melbourne	1	FALSE
2	1	30014	10	Q	P3M	1982-04-01T00:00:00Z	26.6	Melbourne	1.00809646856158	FALSE
2	1	30014	10	Q	P3M	1982-07-01T00:00:00Z	27.5	Melbourne	1.00703856945832	FALSE
2	1	30014	10	Q	P3M	1982-10-01T00:00:00Z	28.6	Melbourne	1.01614987080103	FALSE
2	1	30014	10	Q	P3M	1983-01-01T00:00:00Z	29.4	Melbourne	1.02325581395349	FALSE
2	1	30014	10	Q	P3M	1983-04-01T00:00:00Z	30.2	Melbourne	1.03007751937984	FALSE
2	1	30014	10	Q	P3M	1983-07-01T00:00:00Z	30.9	Melbourne	1.03619022733211	FALSE
2	1	30014	10	Q	P3M	1983-10-01T00:00:00Z	31.7	Melbourne	1.03680577678666	FALSE
2	1	30014	10	Q	P3M	1984-01-01T00:00:00Z	32.4	Melbourne	1.06553911205074	FALSE
2	1	30014	10	Q	P3M	1984-04-01T00:00:00Z	33.4	Melbourne	1.09540846750149	FALSE
2	1	30014	10	Q	P3M	1984-07-01T00:00:00Z	34	Melbourne	1.09997689124178	FALSE
2	1	30014	10	Q	P3M	1984-10-01T00:00:00Z	34.8	Melbourne	1.11080711354309	FALSE
2	1	30014	10	Q	P3M	1985-01-01T00:00:00Z	35.5	Melbourne	1.1182017140169	FALSE
2	1	30014	10	Q	P3M	1985-04-01T00:00:00Z	36.2	Melbourne	1.11380164628786	FALSE
2	1	30014	10	Q	P3M	1985-07-01T00:00:00Z	37.2	Melbourne	1.11862222482573	FALSE
2	1	30014	10	Q	P3M	1985-10-01T00:00:00Z	38	Melbourne	1.12010718729065	FALSE
2	1	30014	10	Q	P3M	1986-01-01T00:00:00Z	39	Melbourne	1.1245927423885	FALSE
2	1	30014	10	Q	P3M	1986-04-01T00:00:00Z	39.8	Melbourne	1.12857905687823	FALSE
2	1	30014	10	Q	P3M	1986-07-01T00:00:00Z	40.9	Melbourne	1.13023973585989	FALSE
2	1	30014	10	Q	P3M	1986-10-01T00:00:00Z	41.8	Melbourne	1.12389133319366	FALSE
2	1	30014	10	Q	P3M	1987-01-01T00:00:00Z	42.6	Melbourne	1.12264489963551	FALSE
2	1	30014	10	Q	P3M	1987-04-01T00:00:00Z	43.3	Melbourne	1.1237276710482	FALSE
2	1	30014	10	Q	P3M	1987-07-01T00:00:00Z	44.5	Melbourne	1.13512886768701	FALSE
2	1	30014	10	Q	P3M	1987-10-01T00:00:00Z	45.2	Melbourne	1.13360693114455	FALSE
2	1	30014	10	Q	P3M	1988-01-01T00:00:00Z	46	Melbourne	1.13460183227625	FALSE
2	1	30014	10	Q	P3M	1988-04-01T00:00:00Z	46.6	Melbourne	1.1284180071387	FALSE
2	1	30014	10	Q	P3M	1988-07-01T00:00:00Z	47.8	Melbourne	1.13672442014886	FALSE
2	1	30014	10	Q	P3M	1988-10-01T00:00:00Z	48.8	Melbourne	1.13783914728682	FALSE
2	1	30014	10	Q	P3M	1989-01-01T00:00:00Z	49.8	Melbourne	1.14992577931717	FALSE
2	1	30014	10	Q	P3M	1989-04-01T00:00:00Z	50.6	Melbourne	1.13973965189411	FALSE
2	1	30014	10	Q	P3M	1989-07-01T00:00:00Z	51.8	Melbourne	1.14093652564433	FALSE
2	1	30014	10	Q	P3M	1989-10-01T00:00:00Z	52.7	Melbourne	1.13973149084373	FALSE
2	1	30014	10	Q	P3M	1990-01-01T00:00:00Z	53.8	Melbourne	1.14281773290298	FALSE
2	1	30014	10	Q	P3M	1990-04-01T00:00:00Z	54.6	Melbourne	1.14153056652955	FALSE
2	1	30014	10	Q	P3M	1990-07-01T00:00:00Z	55.6	Melbourne	1.15435119649478	FALSE
2	1	30014	10	Q	P3M	1990-10-01T00:00:00Z	56.4	Melbourne	1.14119038234135	FALSE
2	1	30014	10	Q	P3M	1991-01-01T00:00:00Z	56.9	Melbourne	1.15326199971045	FALSE
2	1	30014	10	Q	P3M	1991-04-01T00:00:00Z	57.4	Melbourne	1.16142425436868	FALSE
2	1	30014	10	Q	P3M	1991-07-01T00:00:00Z	57.5	Melbourne	1.1575617344471	FALSE
2	1	30014	10	Q	P3M	1991-10-01T00:00:00Z	57.4	Melbourne	1.14397380647332	FALSE
3	1	30014	10	Q	P3M	1982-01-01T00:00:00Z	29.9	Brisbane	1	FALSE
3	1	30014	10	Q	P3M	1982-04-01T00:00:00Z	30.8	Brisbane	1.00720921590487	FALSE
3	1	30014	10	Q	P3M	1982-07-01T00:00:00Z	32.1	Brisbane	1.01430124956399	FALSE
3	1	30014	10	Q	P3M	1982-10-01T00:00:00Z	32.9	Brisbane	1.00863991081382	FALSE
3	1	30014	10	Q	P3M	1983-01-01T00:00:00Z	33.6	Brisbane	1.0090778786431	FALSE
3	1	30014	10	Q	P3M	1983-04-01T00:00:00Z	34.1	Brisbane	1.00361204013378	FALSE
3	1	30014	10	Q	P3M	1983-07-01T00:00:00Z	34.5	Brisbane	0.998271391529819	FALSE
3	1	30014	10	Q	P3M	1983-10-01T00:00:00Z	35.2	Brisbane	0.993411829385624	FALSE
3	1	30014	10	Q	P3M	1984-01-01T00:00:00Z	35.8	Brisbane	1.01591162460728	FALSE
3	1	30014	10	Q	P3M	1984-04-01T00:00:00Z	36.1	Brisbane	1.02161049652688	FALSE
3	1	30014	10	Q	P3M	1984-07-01T00:00:00Z	36.3	Brisbane	1.01335073551404	FALSE
3	1	30014	10	Q	P3M	1984-10-01T00:00:00Z	36.9	Brisbane	1.0163289396026	FALSE
3	1	30014	10	Q	P3M	1985-01-01T00:00:00Z	37.2	Brisbane	1.01107473460347	FALSE
3	1	30014	10	Q	P3M	1985-04-01T00:00:00Z	37.6	Brisbane	0.998241561217805	FALSE
3	1	30014	10	Q	P3M	1985-07-01T00:00:00Z	37.8	Brisbane	0.980800822220163	FALSE
3	1	30014	10	Q	P3M	1985-10-01T00:00:00Z	38.2	Brisbane	0.971600809281969	FALSE
3	1	30014	10	Q	P3M	1986-01-01T00:00:00Z	38.9	Brisbane	0.967896207971822	FALSE
3	1	30014	10	Q	P3M	1986-04-01T00:00:00Z	39.2	Brisbane	0.959143304284273	FALSE
3	1	30014	10	Q	P3M	1986-07-01T00:00:00Z	39.6	Brisbane	0.944258639910814	FALSE
3	1	30014	10	Q	P3M	1986-10-01T00:00:00Z	39.9	Brisbane	0.925698273524361	FALSE
3	1	30014	10	Q	P3M	1987-01-01T00:00:00Z	40.4	Brisbane	0.918676677962598	FALSE
3	1	30014	10	Q	P3M	1987-04-01T00:00:00Z	40.9	Brisbane	0.915893558237604	FALSE
3	1	30014	10	Q	P3M	1987-07-01T00:00:00Z	41.5	Brisbane	0.913443672640997	FALSE
3	1	30014	10	Q	P3M	1987-10-01T00:00:00Z	42.2	Brisbane	0.913240212472949	FALSE
3	1	30014	10	Q	P3M	1988-01-01T00:00:00Z	42.8	Brisbane	0.910915171784737	FALSE
3	1	30014	10	Q	P3M	1988-04-01T00:00:00Z	44.3	Brisbane	0.925627683895609	FALSE
3	1	30014	10	Q	P3M	1988-07-01T00:00:00Z	44.9	Brisbane	0.921344721448654	FALSE
3	1	30014	10	Q	P3M	1988-10-01T00:00:00Z	46.2	Brisbane	0.929504598662208	FALSE
3	1	30014	10	Q	P3M	1989-01-01T00:00:00Z	47.6	Brisbane	0.948409592257881	FALSE
3	1	30014	10	Q	P3M	1989-04-01T00:00:00Z	49	Brisbane	0.952356912980375	FALSE
3	1	30014	10	Q	P3M	1989-07-01T00:00:00Z	49.9	Brisbane	0.948376507176443	FALSE
3	1	30014	10	Q	P3M	1989-10-01T00:00:00Z	51.8	Brisbane	0.966652125442296	FALSE
3	1	30014	10	Q	P3M	1990-01-01T00:00:00Z	51.7	Brisbane	0.947618990942525	FALSE
3	1	30014	10	Q	P3M	1990-04-01T00:00:00Z	52.5	Brisbane	0.947115018538151	FALSE
3	1	30014	10	Q	P3M	1990-07-01T00:00:00Z	53.2	Brisbane	0.953066744219863	FALSE
3	1	30014	10	Q	P3M	1990-10-01T00:00:00Z	53.8	Brisbane	0.939311830395102	FALSE
3	1	30014	10	Q	P3M	1991-01-01T00:00:00Z	54.1	Brisbane	0.946153278330144	FALSE
3	1	30014	10	Q	P3M	1991-04-01T00:00:00Z	54.7	Brisbane	0.955025225327363	FALSE
3	1	30014	10	Q	P3M	1991-07-01T00:00:00Z	55	Brisbane	0.955405031950233	FALSE
3	1	30014	10	Q	P3M	1991-10-01T00:00:00Z	55.2	Brisbane	0.949274431745217	FALSE
4	1	30014	10	Q	P3M	1982-01-01T00:00:00Z	27.3	Adelaide	1	FALSE
4	1	30014	10	Q	P3M	1982-04-01T00:00:00Z	27.9	Adelaide	0.999267399267399	FALSE
4	1	30014	10	Q	P3M	1982-07-01T00:00:00Z	29.3	Adelaide	1.01400031461381	FALSE
4	1	30014	10	Q	P3M	1982-10-01T00:00:00Z	30.1	Adelaide	1.01068376068376	FALSE
4	1	30014	10	Q	P3M	1983-01-01T00:00:00Z	30.9	Adelaide	1.01637138371832	FALSE
4	1	30014	10	Q	P3M	1983-04-01T00:00:00Z	31.3	Adelaide	1.00893772893773	FALSE
4	1	30014	10	Q	P3M	1983-07-01T00:00:00Z	31.9	Adelaide	1.01094785364448	FALSE
4	1	30014	10	Q	P3M	1983-10-01T00:00:00Z	33	Adelaide	1.0200210748156	FALSE
4	1	30014	10	Q	P3M	1984-01-01T00:00:00Z	34.1	Adelaide	1.05982905982906	FALSE
4	1	30014	10	Q	P3M	1984-04-01T00:00:00Z	34.8	Adelaide	1.07861369399831	FALSE
4	1	30014	10	Q	P3M	1984-07-01T00:00:00Z	35.4	Adelaide	1.08234313112362	FALSE
4	1	30014	10	Q	P3M	1984-10-01T00:00:00Z	36.5	Adelaide	1.10105580693816	FALSE
4	1	30014	10	Q	P3M	1985-01-01T00:00:00Z	37	Adelaide	1.10141397740342	FALSE
4	1	30014	10	Q	P3M	1985-04-01T00:00:00Z	37.8	Adelaide	1.09912767644726	FALSE
4	1	30014	10	Q	P3M	1985-07-01T00:00:00Z	38.8	Adelaide	1.10262868953045	FALSE
4	1	30014	10	Q	P3M	1985-10-01T00:00:00Z	39.7	Adelaide	1.10591959480848	FALSE
4	1	30014	10	Q	P3M	1986-01-01T00:00:00Z	40.2	Adelaide	1.09550353028614	FALSE
4	1	30014	10	Q	P3M	1986-04-01T00:00:00Z	40.7	Adelaide	1.09068761800353	FALSE
4	1	30014	10	Q	P3M	1986-07-01T00:00:00Z	41.7	Adelaide	1.08903133903134	FALSE
4	1	30014	10	Q	P3M	1986-10-01T00:00:00Z	42.2	Adelaide	1.07230307230307	FALSE
4	1	30014	10	Q	P3M	1987-01-01T00:00:00Z	43.2	Adelaide	1.07590422822211	FALSE
4	1	30014	10	Q	P3M	1987-04-01T00:00:00Z	43.6	Adelaide	1.06934225195095	FALSE
4	1	30014	10	Q	P3M	1987-07-01T00:00:00Z	45.2	Adelaide	1.08963401271094	FALSE
4	1	30014	10	Q	P3M	1987-10-01T00:00:00Z	45.7	Adelaide	1.08317173023055	FALSE
