Taxable_Income,Density
31821.1092271096,8.68483515634144e-06
32291.4461452632,8.76421165295227e-06
32761.7830634169,8.84376529454599e-06
33232.1199815705,8.92319955179473e-06
33702.4568997241,9.00202070276064e-06
34172.7938178778,9.07982991336815e-06
34643.1307360314,9.15625651524444e-06
35113.4676541851,9.23090331321921e-06
35583.8045723387,9.30336865124342e-06
36054.1414904923,9.37325174216679e-06
36524.478408646,9.44015817386022e-06
36994.8153267996,9.50298533000342e-06
37465.1522449532,9.56187592830832e-06
37935.4891631069,9.61658694098163e-06
38405.8260812605,9.66685484920352e-06
38876.1629994141,9.71245740087687e-06
39346.4999175678,9.75321638557372e-06
39816.8368357214,9.78899982994208e-06
40287.173753875,9.81870296786244e-06
40757.5106720287,9.8433300940813e-06
41227.8475901823,9.86294435423872e-06
41698.184508336,9.87764114375862e-06
42168.5214264896,9.88755331138242e-06
42638.8583446432,9.89284776193194e-06
43109.1952627969,9.89366556670076e-06
43579.5321809505,9.88957567058318e-06
44049.8690991041,9.88167861576363e-06
44520.2060172578,9.87025220186029e-06
44990.5429354114,9.85558588413587e-06
45460.8798535651,9.83797892199232e-06
45931.2167717187,9.81773876591945e-06
46401.5536898723,9.79512455848293e-06
46871.890608026,9.77027515077984e-06
47342.2275261796,9.743920203653e-06
47812.5644443332,9.71638976789827e-06
48282.9013624869,9.68801463752033e-06
48753.2382806405,9.6591247218671e-06
49223.5751987941,9.63004716359995e-06
49693.9121169478,9.60112807513145e-06
50164.2490351014,9.57283394296347e-06
50634.5859532551,9.54542630733799e-06
51104.9228714087,9.51916929795331e-06
51575.2597895623,9.49430159442839e-06
52045.596707716,9.47103259845709e-06
52515.9336258696,9.4495387195482e-06
52986.2705440232,9.43008019253292e-06
53456.6074621769,9.41293271391234e-06
53926.9443803305,9.39782937872867e-06
54397.2812984841,9.38473162954092e-06
54867.6182166378,9.37355391400402e-06
55337.9551347914,9.36416452740736e-06
55808.2920529451,9.35638701247831e-06
56278.6289710987,9.35007877305089e-06
56748.9658892523,9.34492498081774e-06
57219.302807406,9.34042874104655e-06
57689.6397255596,9.33624691099805e-06
58159.9766437132,9.33202072601005e-06
58630.3135618669,9.32738170405951e-06
59100.6504800205,9.32195764900493e-06
59570.9873981741,9.31523130603983e-06
60041.3243163278,9.30668596563442e-06
60511.6612344814,9.2961384209794e-06
60981.998152635,9.28330109462081e-06
61452.3350707887,9.26792095748126e-06
61922.6719889423,9.24978320123181e-06
62393.008907096,9.22871448210575e-06
62863.3458252496,9.20425439421441e-06
63333.6827434032,9.17634818592697e-06
63804.0196615569,9.14530971609109e-06
64274.3565797105,9.11120086018061e-06
64744.6934978641,9.07412917375318e-06
65215.0304160178,9.03424595195354e-06
65685.3673341714,8.99174389631903e-06
66155.704252325,8.94661362484206e-06
66626.0411704787,8.89932711640193e-06
67096.3780886323,8.85039596572978e-06
67566.7150067859,8.80015635699343e-06
68037.0519249396,8.74895660994373e-06
68507.3888430932,8.69715178219206e-06
68977.7257612468,8.64509813161538e-06
69448.0626794005,8.59322504159089e-06
69918.3995975541,8.54196015062587e-06
70388.7365157078,8.49158541005786e-06
70859.0734338614,8.44235996834742e-06
71329.410352015,8.39450454419357e-06
71799.7472701687,8.34819680113152e-06
72270.0841883223,8.30356708217361e-06
72740.4211064759,8.2609585163912e-06
73210.7580246296,8.22018300825743e-06
73681.0949427832,8.18105882814542e-06
74151.4318609368,8.1434388313647e-06
74621.7687790905,8.10712235585799e-06
75092.1056972441,8.0718584765891e-06
75562.4426153977,8.03735003667952e-06
76032.7795335514,8.00323419453385e-06
76503.116451705,7.96896730536314e-06
76973.4533698587,7.93412989234911e-06
77443.7902880123,7.89831195830365e-06
77914.1272061659,7.86110946066096e-06
78384.4641243196,7.82213282790795e-06
78854.8010424732,7.78101532678497e-06
79325.1379606268,7.73689926621925e-06
79795.4748787805,7.6898562920992e-06
80265.8117969341,7.63974768093222e-06
