"Selected items"	"unit"	"1978-79"	"1979-80"	"1980-81"	"1981-82"	"1982-83"	"1983-84"	"1984-85"	"1985-86"	"1986-87"	"1987-88"	"1988-89"	"1989-90"	"1990-91"	"1991-92"	"1992-93"	"1993-94"	"1994-95"	"1995-96"	"1996-97"	"1997-98"	"1998-99"	"1999-00"	"2000-01"	"2001-02"	"2002-03"	"2003-04"	"2004-05"	"2005-06"	"2006-07"	"2007-08"	"2008-09"	"2009-10"	"2010-11"	"2011-12"	"2012-13"	"2013-14"
"Total business expenses2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	79829382879	90928914603	83547915461	88494335150	82967160647	82724764111	74591567812	71001272282
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Reconciliation items"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Deduction for environmental protection expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	295	3110	2115	NA	NA	620	505	520	510	555	565	595	600	595	575	625	NA	NA
"Deduction for environmental protection expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	755141	1822612	1169696	NA	NA	575800	1499523	1077294	2396730	2163590	1128567	1016938	1442930	1155680	1515173	2727242	NA	NA
"Section 40-880 deduction"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	280	385	440	515	660	720	700	850	1045	1060	1046	1391	1062
"Section 40-880 deduction"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	655790	1225500	1307750	1505334	1784646	1947189	1492393	2649000	4438831	2341895	2382792	3480439	3027774
"Business deduction for project pool"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	190	170	160	175	170	180	150	260	245	160	172	222	158
"Business deduction for project pool"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	305854	687950	742565	388450	462138	841646	593088	1486325	1427138	560534	725838	1064797	421445
"Small business and general business tax break"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83730	84025	2000	290	NA	NA
