"Selected items"	"unit"	"1978-79"	"1979-80"	"1980-81"	"1981-82"	"1982-83"	"1983-84"	"1984-85"	"1985-86"	"1986-87"	"1987-88"	"1988-89"	"1989-90"	"1990-91"	"1991-92"	"1992-93"	"1993-94"	"1994-95"	"1995-96"	"1996-97"	"1997-98"	"1998-99"	"1999-00"	"2000-01"	"2001-02"	"2002-03"	"2003-04"	"2004-05"	"2005-06"	"2006-07"	"2007-08"	"2008-09"	"2009-10"	"2010-11"	"2011-12"	"2012-13"	"2013-14"
"Number of individuals"	"no."	6487440	6972725	7330715	7283495	8263255	7604885	7813965	8200615	8343795	8874210	9257035	9421815	9330715	9288825	9272970	9391090	9619010	10188615	10271135	10317585	10364730	10751410	10933145	11093975	11350160	11662875	11946065	12208760	12562515	12994080	12908185	13049455	13275055	13366780	13226484	12964285
"Number of taxable individuals"	"no."	5208120	5662415	5998375	5954875	6863065	6338015	6546545	6966075	7181865	7629455	7906140	8074690	7800250	7660355	7661770	7609300	7861135	8406025	8557900	8643240	8485225	9074345	8948110	9064090	9241690	9442995	9723380	9920200	9850200	10083420	9582260	9537600	9815520	10203645	9762315	9712293
"Number of non-taxable individuals"	"no."	1279320	1310310	1332340	1328625	1400190	1266865	1267420	1234540	1161930	1244760	1350890	1347130	1530470	1628470	1611200	1781790	1757875	1782590	1713235	1674345	1879510	1677060	1985030	2029885	2108475	2219875	2222685	2288560	2712315	2910660	3325920	3511860	3459530	3163135	3464166	3251992
"Number of males"	"no."	NA	NA	NA	NA	NA	NA	NA	4626495	4647105	4914610	5082160	5158160	5099715	5076135	5070630	5125870	5219020	5514450	5530600	5557600	5570765	5772065	5834230	5878660	5963295	6089255	6223025	6344865	6523110	6760940	6680150	6755450	6873630	6981476	6912978	6747711
"Number of females"	"no."	NA	NA	NA	NA	NA	NA	NA	3574115	3696690	3959605	4174875	4263660	4231005	4212690	4202340	4265220	4399990	4674165	4740530	4759985	4793965	4979345	5098915	5215315	5386865	5573620	5723040	5863895	6039405	6233135	6228030	6294005	6401425	6385304	6313506	6216574
"Number of residents"	"no."	NA	NA	NA	NA	NA	NA	NA	8178465	8324365	8852485	9235320	9400155	9308890	9264670	9245345	9360385	9588540	10151850	10238385	10291210	10310210	10689300	10869740	11020140	11280350	11591845	11873640	12134830	12481635	12906460	12818545	12954885	13177330	13263698	13124288	12868673
"Number of non-residents"	"no."	NA	NA	NA	NA	NA	NA	NA	22150	19430	21725	21715	21660	21825	24155	27625	30705	30470	36765	32750	26375	54520	62110	63405	73835	69810	71030	72425	73930	80880	87620	89640	94575	97725	103082	102196	95612
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Number of individuals by state"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NSW"	"no."	NA	NA	NA	NA	NA	NA	NA	2819065	2834990	3007325	3090075	3147995	3123905	3134075	3112810	3144505	3218860	3387715	3414645	3435905	3459135	3608435	3677280	3701335	3761700	3850320	3920540	3978125	4066365	4174915	4129605	4158110	4219900	4218083	4159253	4064418
"VIC"	"no."	NA	NA	NA	NA	NA	NA	NA	2205755	2249570	2377890	2466200	2490435	2451835	2413545	2387990	2388390	2424270	2551230	2565680	2585675	2599320	2700070	2750965	2793345	2851260	2914455	2976705	3036160	3114550	3213010	3194905	3240915	3306625	3323285	3288874	3227886
"QLD"	"no."	NA	NA	NA	NA	NA	NA	NA	1245295	1287345	1399320	1505430	1519710	1555850	1583065	1614895	1662980	1726890	1836480	1862615	1887205	1910465	1987255	2028830	2087235	2166100	2256385	2339020	2416815	2510670	2619550	2604070	2617765	2656220	2679838	2645489	2582085
"WA"	"no."	NA	NA	NA	NA	NA	NA	NA	768030	791370	842390	887680	903950	885115	882910	893050	921305	952175	1012310	1026845	1039115	1043625	1073110	1083230	1098735	1128160	1165050	1203520	1246295	1303720	1372245	1376445	1392790	1432830	1484720	1497519	1467823
"SA"	"no."	NA	NA	NA	NA	NA	NA	NA	727030	738755	776725	795515	796460	789620	778050	768355	770650	782175	808855	809325	807720	807840	825745	832080	844190	862080	880070	896490	910605	927240	948315	937235	948565	954155	949820	933453	914609
"TAS"	"no."	NA	NA	NA	NA	NA	NA	NA	222585	224295	234820	242705	238795	242295	240795	240365	240870	243110	244705	250745	246500	243800	246665	249045	252340	258690	266955	273805	278320	283265	288620	285815	287970	288170	282058	273990	267901
"ACT"	"no."	NA	NA	NA	NA	NA	NA	NA	145375	148970	163135	192545	196280	200895	176745	173795	177545	183450	202635	188860	190025	192015	198190	202455	205980	210285	214850	218730	224130	231145	238980	236020	240020	244770	250347	248304	242198
"NT"	"no."	NA	NA	NA	NA	NA	NA	NA	67475	68505	72610	76880	80000	81200	79635	81260	84900	87515	95330	98580	99510	98415	101220	99655	101380	102665	104695	107200	107960	111585	117935	118780	119880	122610	126542	126562	124011
"Unknown/Overseas"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49355	53835	25925	10120	10710	9600	9440	9225	10095	10050	10345	13980	20505	25300	43435	49775	52087	53040	73354
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Number of individuals by lodgment method"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Tax agent returns"	"no."	NA	NA	NA	NA	NA	NA	NA	4982355	5148340	5559020	5838560	6223135	6600540	6881920	6581285	6810775	7072345	7395750	7607695	7839220	8027655	8347220	8397190	8417340	8506530	8669205	8811355	8974240	9147375	9204045	8976365	9451755	9667900	9871946	9802675	9622306
"e-tax returns"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	111560	265920	539120	802035	1020950	1294995	1499795	1745555	2115100	2169800	2476215	2590620	2662278	2845127	1799965
"MyTax returns"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1082686
"Other self-preparer returns"	"no."	NA	NA	NA	NA	NA	NA	NA	3218260	3195450	3315195	3418470	3150490	2730180	2406905	2691685	2580315	2546665	2792855	2663440	2478365	2337075	2292630	2270030	2137520	2041595	1972720	1839710	1734725	1669585	1674930	1762015	1121485	1016535	832556	578682	459328
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Number of individuals by age"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Under 18"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	95205	35905	58910	44935	86505	33630	27865	140345	276555	324285	263590	265650	278935	277470	260830	271320	282195	296715	296355	305860	341295	245885	234075	228220	191362	135075	113389
"18 - 24"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	1433345	1313505	1419725	1337355	1432380	1223540	1217665	1341065	1500765	1481260	1433690	1426410	1468800	1479180	1496755	1527495	1573570	1596215	1619910	1672760	1784290	1715040	1685010	1686630	1674962	1589423	1525717
"25 - 29"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	1195045	1231765	1202745	1175210	1157680	1142305	1169095	1125295	1175765	1182960	1202910	1192185	1214430	1189365	1167590	1167005	1183365	1203890	1228760	1282915	1366070	1378780	1429880	1463035	1486936	1479534	1449835
"30 - 34"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	2105920	2237670	2259395	2284370	2285165	2314530	2352305	2247510	2359750	1150040	1128780	1120860	1157645	1200730	1248130	1286475	1312120	1339225	1314660	1298795	1307265	1295630	1321060	1356140	1386774	1413842	1417164
"35 - 39"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1188285	1203990	1197275	1214880	1219860	1212655	1213035	1236815	1283145	1328220	1374870	1412340	1408655	1419670	1396330	1352844	1321428	1281271
"40 - 44"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	1703515	1911410	1972250	2031395	2027270	2133190	2205690	2108010	2195405	1119720	1140490	1151400	1194290	1233015	1261120	1282380	1304900	1324340	1317470	1314830	1323340	1326365	1355470	1397400	1415609	1414065	1366005
"45 - 49"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1057800	1068800	1071180	1104885	1133725	1158790	1180655	1213005	1252830	1281965	1315800	1355305	1361985	1365185	1355830	1332539	1302313	1263466
"50 - 54"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	1080020	1171155	1201940	1228510	1187095	1288975	1351095	781575	804680	844155	921950	950205	1006715	1048175	1048535	1066410	1085330	1109820	1131850	1160710	1197130	1216325	1241355	1268840	1292946	1295344	1266967
"55 - 59"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	580705	589800	598960	634220	660485	710490	749905	820030	880390	921575	962915	1001840	1008960	1035655	1043985	1053545	1076885	1101729	1106518	1100349
"60 - 64"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	426880	453485	453340	434155	398825	387905	371765	410705	407020	412500	435045	450855	484740	504955	528615	555595	592940	626965	669305	740120	782135	807140	832000	869280	877931	879277	871155
"65 - 69"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	306615	329255	323800	309715	281495	289695	268695	329500	328540	326685	319470	310535	318705	313280	317785	333245	352855	367050	392150	418110	418575	431160	446445	476845	528169	557199	566909
"70 - 74"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	527670	572880	529708	485065	432415	459200	426920	232905	234250	238235	241200	240595	249940	242950	234035	233665	235265	230855	239570	252875	253160	258485	258645	272675	285830	290608	299886
"75 and over"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	321395	316085	346250	323445	327090	346955	340535	339105	352485	368945	352105	386705	415910	417520	418750	407110	426945	439149	441858	442172
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ATO calculated amounts"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Taxable income (excluding losses)"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12840430	13068020	13093045	12964528	12729647
"Taxable income (excluding losses)"	"$"	57563107000	68078291000	79045481000	91064326000	99671894000	106099370000	112655931000	1.30595e+11	1.44857e+11	1.6664e+11	1.89579e+11	2.00215e+11	2.0243e+11	2.03117e+11	2.10903e+11	2.22712e+11	2.3658e+11	264563681532	273609356592	294733664539	309083899417	335473326376	354681007196	366689146155	386455167966	416344145771	449105991708	483218599181	532310873092	568595402462	581277500867	610178889876	658167073804	702834200231	731871678546	743089787519
"Gross tax"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11774130	12075175	12320812	10611504	10532779
"Gross tax"	"$"	11963381000	13864776000	16250870000	19524300000	23189347000	24979318000	26955710000	31453890000	35290505000	4.0085e+10	4.8339e+10	4.6833e+10	4.6089e+10	4.5776e+10	4.8637e+10	5.1024e+10	5.4444e+10	61555124669	66086246093	72119711261	77513594417	86909911134	82616841614	86316083504	92838132043	100542894543	109464561643	115525646211	122744641532	127514602293	125808260581	131933456442	144988295727	156410203868	157000874800	162792549651
"Complementary tax"	"no."	NA	NA	NA	NA	NA	75230	70375	58185	38110	35335	39465	55455	106120	97580	84125	74815	62215	51915	64155	70390	73445	63295	44920	43315	53520	57675	58480	56275	48220	41185	39905	44465	34410	38708	35097	32913
"Complementary tax"	"$"	NA	NA	NA	NA	NA	21684000	18795000	14655000	9446000	9e+06	1.1e+07	1.8e+07	4.5e+07	4.1e+07	3.3e+07	2.6e+07	1.9e+07	16571001	23261559	26805535	31581841	26547052	15209888	16116244	22967161	27730619	29204600	29240797	22058098	17488777	16988645	19039053	13679227	16673592	27299716	26415285
"Medicare levy"	"no."	NA	NA	NA	NA	NA	5438400	5555965	NA	NA	NA	NA	6467380	6041845	5977500	5985695	6002070	6293920	6747840	6886210	6956535	7431980	7396620	7403685	7421690	7533285	7765765	8026890	8253100	8512005	8727310	8666605	8669470	9027380	9315961	9234585	9154837
"Medicare levy"	"$"	NA	NA	NA	NA	NA	395614000	1035350000	1182668000	1499599000	1.865e+09	2.131e+09	2.224e+09	2.199e+09	2.228e+09	2.295e+09	2.697e+09	2.907e+09	3452444506	4121303145	3881760755	4335426214	4466202483	4707949218	4858396410	5125909394	5543147887	5999849932	6468919889	7101763428	7607234083	7758722458	8318675268	8880539453	9475603742	9832901424	10009507110
"Medicare levy surcharge"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	167330	267630	276590	166085	203695	245785	346135	452440	535995	680090	760230	221825	241915	254870	264125	210629	176920
"Medicare levy surcharge"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	112142940	165980790	166595962	103585909	124659977	151124433	212964034	276814678	334559635	431162935	482765262	195443083	209253201	227110036	247129523	266166729	232170212
"Number of people with private health insurance"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4241820	5068900	5279545	5423755	5560370	5715550	5894955	6144225	6416940	6525055	6485075	6867000	7102829	7131876	7342388
"Net tax"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9537600	9815520	10203646	9762315	9712293
"Net tax"	"$"	11078483000	14166311000	16614958000	19749428000	20921530000	23823666000	26420394000	31031250000	35180080000	3.8945e+10	4.486e+10	4.5455e+10	4.4207e+10	4.3668e+10	4.5796e+10	4.7653e+10	5.094e+10	58016332830	62811041571	67862497836	72445465843	82049238889	82947910049	86494003024	93206206025	100961716811	109469766072	115231517725	121472183849	126555872057	121920873975	127354003048	139914503907	153422498041	160213888136	166197130901
"Estimated business net tax"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	655960	666919	621782	622407
"Estimated business net tax"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4684792762	5025102721	4925818008	5135930417	6023356934	6517189250	6642412506	6780904896
"Estimated non-business net tax"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9309315	9581365	9968972	9546459	9497769
"Estimated non-business net tax"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	116779824944	121523758815	116989682370	122218072632	133891146973	146905308791	153571475629	159416226005
"Estimated tax on net capital gains"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	447625	462200	356046	402554	475548
"Estimated tax on net capital gains"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	4.3e+07	1.26e+08	3.06e+08	2.4e+08	1.74e+08	2.44e+08	258766439	562569559	365350699	516176843	762083183	1201330646	1704997845	1811201820	1968050729	2139423692	2314571884	3585208926	4273413176	5483349046	8153388256	7483808610	3239451027	3545154488	3880705908	3072546068	3294663181	4759520045
"HELP assessment debt"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31240	57205	71585	76875	90395	123955	147675	191210	200630	328090	319955	342990	354840	348515	351530	369220	270190	301650	325025	364250	369430	377430	404610	424012	432154	425864
"HELP assessment debt"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9e+06	2.8e+07	4.8e+07	5.5e+07	7e+07	1.29e+08	1.64e+08	218991184	267269735	485124017	491840483	561684502	606011706	611710892	638941417	704148931	683518081	808905432	938640956	1123990859	1195801691	1270027786	1418884164	1532192796	1593121761	1603649047
"Supplementary loan assessment debt"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58430	60175	53215	47685	44230	39291	33668	27622
"Supplementary loan assessment debt"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89127687	96792773	89359659	83067426	80455895	74071537	65066175	54166674
"Tax payable"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1949260	1956535	1918425	1788545	2150240	2039085	2028655	2096420	2187720	2198890	2158655	2079955	1980650	1562120	1563890	1779930	1928873	1882649	1920994
"Tax payable"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.038e+09	2.887e+09	3.003e+09	3700992304	3617391700	4642830872	5024454449	7028485948	7866220723	8185732970	8821935079	10359322246	11277035718	12247233169	15111787873	15036352683	10955375451	12198670827	14292476224	13937651791	13984118237	15649075920
"Tax refundable"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7530005	7605110	7751410	7890935	7918320	8424450	8596640	8771530	8967305	9250975	9531600	9911095	10432600	10724810	10797900	10808645	10681934	10550185	10289221
"Tax refundable"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.483e+09	-7.181e+09	-7.711e+09	-8401444318	-8694237673	-9867316330	-10544020337	-11141224506	-10768248211	-11525329551	-12549305573	-13880254375	-15482894477	-17414172368	-19752905205	-22912985561	-24962970077	-24870726543	-25786348206	-26151880292	-26454421917	-25668239786
"Tax payable or refundable"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11991050	12413250	12286930	12361790	12588575	12610807	12432834	12210215
"Tax payable or refundable"	"$"	NA	NA	NA	NA	2499972000	3539751000	3476988000	5101516000	3035452000	2.723e+09	3.061e+09	3.211e+09	-9.81e+08	-1.764e+09	-4.45e+08	-4.294e+09	-4.708e+09	-4700452014	-5076845973	-5224485458	-5519565888	-4112738558	-2902027488	-3339596581	-3727370494	-3520932129	-4205858759	-5166939199	-4641117332	-7876632878	-14007594626	-12672055716	-11493877430	-12214228500	-12470303680	-10019163866
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Income"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Salary or wages"	"no."	5260100	5482095	7965855	5878135	5786025	5833440	7038300	6352480	6413555	6910315	7338955	7407545	7255445	7099835	7088160	7209180	7413070	7819290	7847265	7924380	7986135	8301885	8439340	8509955	8647140	8865995	9121855	9349850	9679410	10184950	10057285	10134375	10348995	10560582	10473751	10304687
"Salary or wages"	"$"	46659998000	54164429000	63427205000	74077557000	81185183000	86093387000	95085801000	105596678000	113735152000	1.30719e+11	1.45146e+11	1.5664e+11	1.61436e+11	1.63724e+11	1.66544e+11	1.74239e+11	1.86117e+11	204460311444	214084762750	226324145443	237440435636	257114064414	274069457330	284852462530	300136845188	321128753043	345302362155	369938753469	401301192824	441910373996	461428908566	483194462126	521048169173	557702984978	580763271094	584164800105
"Allowances, earnings, tips, director’s fees etc"	"no."	888685	936985	1068270	1161775	1157285	1180365	1260270	1405685	1467685	1548965	1801445	1999470	2011970	1946130	1937880	1968085	1983190	2055155	2044495	2048300	2061105	2132865	2079930	2035385	2056340	2097915	2146645	2172910	2172700	2243595	2215425	2264390	2349085	2403969	2348760	2297379
"Allowances, earnings, tips, director’s fees etc"	"$"	407184000	457898000	583651000	694513000	795416000	852469000	982466000	1099359000	999761000	1.074e+09	1.303e+09	2.685e+09	3.007e+09	2.874e+09	2.859e+09	2.981e+09	3.197e+09	3592568970	3784677053	4211232430	4609916519	5059235358	5167068034	5297411404	5441794059	5635877210	6035657544	6396896785	6925888725	7611988203	7829059836	7944407810	8311633313	8906756798	9072808326	8731851568
"Employer lump sum payments - Amount A in lump sum payments box"	"no."	663915	772515	823620	903860	817695	793070	816315	985195	984285	1082665	1119965	1106350	943490	815265	819390	777025	432385	318690	292555	282330	250340	228095	219020	225160	186555	163165	155395	159575	150210	145115	201455	153885	142750	168768	213790	202941
"Employer lump sum payments - Amount A in lump sum payments box"	"$"	328045000	442709000	551877000	709638000	851175000	879147000	959813000	1315506000	1487539000	1.835e+09	2.01e+09	2.162e+09	2.092e+09	2.21e+09	2.416e+09	2.574e+09	1.629e+09	1604533776	1809899783	2044863327	1943591836	1884279019	1876083361	2007497966	1684253167	1496688987	1451238911	1617921434	1631477679	1497159759	2108400593	1779219815	1698971208	2143471622	2899626565	2909186306
"Employer lump sum payments - 5% of amount B in lump sum payments box"	"no."	267970	190630	201660	212515	269260	191795	131065	139870	125025	128965	111335	91545	86315	85510	81925	77075	49950	45800	47235	45900	38655	34235	30615	27675	23160	19445	19310	19675	18010	18305	16160	14220	13665	14158	14229	12863
"Employer lump sum payments - 5% of amount B in lump sum payments box"	"$"	55641000	56003000	71834000	89233000	157970000	123637000	25143000	44497000	33726000	4e+07	2.8e+07	3.4e+07	3.4e+07	3.7e+07	3.5e+07	3.5e+07	2.1e+07	19279059	20751392	20709723	18022671	17428110	15735249	13886343	11915881	10122174	10419439	10267556	9838819	9946209	8956589	7652068	7492687	7894647	8025982	7277953
"Employment termination payments (ETP) - taxable component - blank"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	195301	279	49
"Employment termination payments (ETP) - taxable component - blank"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3014413475	1918072	385708
"Employment termination payments (ETP) - taxable component - code blank split payment"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	294	20	0
"Employment termination payments (ETP) - taxable component - code blank split payment"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8547456	90901	0
"Employment termination payments (ETP) - taxable component - code excluded payment"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	74087	64222
"Employment termination payments (ETP) - taxable component - code excluded payment"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1880157992	1923043346
"Employment termination payments (ETP) - taxable component - code excluded split payment"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	223	172
"Employment termination payments (ETP) - taxable component - code excluded split payment"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3362836	3919014
"Employment termination payments (ETP) - taxable component - code non-excluded payment"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	144546	150064
"Employment termination payments (ETP) - taxable component - code non-excluded payment"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1068868855	1200181121
"Employment termination payments (ETP) - taxable component - code non-excluded split payment"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	468	635
"Employment termination payments (ETP) - taxable component - code non-excluded split payment"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4189946	5796612
"Employment termination payments (ETP) - taxable component - ETP death benefits"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95	390	309
"Employment termination payments (ETP) - taxable component - ETP death benefits"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3663228	2990815	2257716
"Employment termination payments (ETP) - taxable component - ETP death benefits not dependant"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	798	3383	1729
